adres,afgifte_type,bestand,co2,energielabel,ep1_beng1,ep2_beng2,ep3_beng3,gebouwtype,pad,tapwater_toestel,tapwater_type,tojuli,ventilatie_systeem,ventilatie_variant,verwarming_rendement,verwarming_type
"Spitsbergen 13, 1505 EH Zaandam",VERW-AFG_TYPE_AFG_RAD,"Spitsbergen 13, 1505 EH Zaandam_2025-07-17.uniec3",,C,"109,41","217,43","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Spitsbergen 13, 1505 EH Zaandam/Opname/Van adviseur/Spitsbergen 13, 1505 EH Zaandam_2025-07-17.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"2,82",1,VARIANT_A1,"0,850",VERW-OPWEK_TYPE_H
"Ferdinand Bolweg 83, 1181 XD Amstelveen",VERW-AFG_TYPE_AFG_RAD,"Ferdinand Bolweg 83, 1181 XD Amstelveen_2025-05-21.uniec3",,B,"116,56","184,33","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Ferdinand Bolweg 83, 1181 XD Amstelveen/Opname/Van adviseur/Ferdinand Bolweg 83, 1181 XD Amstelveen_2025-05-21.uniec3",Nefit Proline NxT HRC24 CW4,TAPW-OPWEK_TYPE_12,"0,53",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Machineweg 33b, 1432EL Aalsmeer",VERW-AFG_TYPE_AFG_RAD,"Machineweg 33b, 1432EL Aalsmeer_2024-12-04.uniec3",,D,"121,92","272,81","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Machineweg 33b, 1432EL Aalsmeer/Opname/Van adviseur/Machineweg 33b, 1432EL Aalsmeer_2024-12-04.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"2,67",1,VARIANT_A1,"0,900",VERW-OPWEK_TYPE_H
1071 KM  24-1 Jacob Obrechtstraat Amsterdam__,VERW-AFG_TYPE_AFG_RAD,1071 KM  24-1 Jacob Obrechtstraat Amsterdam___2025-06-16.uniec3,,D,"208,64","282,99","0,0",TGEB_APP,/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/1071 KM  24-1 Jacob Obrechtstraat Amsterdam/Opname/Van adviseur/1071 KM  24-1 Jacob Obrechtstraat Amsterdam___2025-06-16.uniec3,Remeha Avanta 35c,TAPW-OPWEK_TYPE_12,"2,54",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_H
"Pieter Calandlaan 528, 1060TV Amsterdam",VERW-AFG_TYPE_AFG_RAD,"Pieter Calandlaan 528, 1060TV Amsterdam_2025-07-24.uniec3",,A,"73,25","114,51","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Pieter Calandlaan 528, 1060TV Amsterdam/Opname/Van adviseur/Pieter Calandlaan 528, 1060TV Amsterdam_2025-07-24.uniec3",externe warmtelevering,TAPW-OPWEK_TYPE_4,"2,32",9,VARIANT_C1,,VERW-OPWEK_TYPE_C
"Wagenmaker 105, 2401 GC Alphen aan den Rijn",VERW-AFG_TYPE_AFG_RAD,"Wagenmaker 105, 2401 GC Alphen aan den Rijn_2025-05-11.uniec3",,C,"115,70","209,14","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Wagenmaker 105, 2401 GC Alphen aan den Rijn/Opname/Van adviseur/Wagenmaker 105, 2401 GC Alphen aan den Rijn_2025-05-11.uniec3",Remeha Calenta 28c,TAPW-OPWEK_TYPE_12,"0,79",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_H
"De Fruittuinen 75, 2132 NZ Hoofddorp_",VERW-AFG_TYPE_AFG_RAD,"De Fruittuinen 75, 2132 NZ Hoofddorp__2025-11-13.uniec3",,A,"94,95","158,29","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/De Fruittuinen 75, 2132 NZ Hoofddorp, Nederland/Opname/Van adviseur/De Fruittuinen 75, 2132 NZ Hoofddorp__2025-11-13.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"1,60",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_H
"Woensbergweg 6, 1261 AP Blaricum",VERW-AFG_TYPE_AFG_VLV,"Woensbergweg 6, 1261 AP Blaricum_2025-08-14.uniec3",,A,"102,26","158,82","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Woensbergweg 6, 1261 AP Blaricum/Opname/Van adviseur/Woensbergweg 6, 1261 AP Blaricum_2025-08-14.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"3,40",1,VARIANT_A1,"0,975",VERW-OPWEK_TYPE_H
"Kijkduinstraat 59-3, 1055XS Amsterdam___",VERW-AFG_TYPE_AFG_RAD,"Kijkduinstraat 59-3, 1055XS Amsterdam____2025-04-16.uniec3",,B,"127,00","178,28","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Kijkduinstraat 59-3, 1055 XT Amsterdam_/Opname/Van adviseur/Kijkduinstraat 59-3, 1055XS Amsterdam____2025-04-16.uniec3",Intergas Kombi Kompakt HReco 30,TAPW-OPWEK_TYPE_12,"1,70",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Anna van Burenlaan 32, 2404 GM Alphen aan den Rijn",VERW-AFG_TYPE_AFG_LV,"Anna van Burenlaan 32, 2404 GM Alphen aan den Rijn_2025-04-03.uniec3",,C,"146,54","218,81","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Anna van Burenlaan 32, 2404 GM Alphen aan den Rijn/Opname/Van adviseur/Anna van Burenlaan 32, 2404 GM Alphen aan den Rijn_2025-04-03.uniec3",Vaillant MAG NL 11-2/0 L,TAPW-OPWEK_TYPE_14,"2,18",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_L
"Marconistraat 30, 1433 KK Kudelstaart",VERW-AFG_TYPE_AFG_RAD,"Marconistraat 30, 1433 KK Kudelstaart_2025-06-17.uniec3",,C,"135,26","216,75","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Marconistraat 30, 1433 KK Kudelstaart/Opname/Van adviseur/Marconistraat 30, 1433 KK Kudelstaart_2025-06-17.uniec3",HR(-107) ketel met Gaskeur,TAPW-OPWEK_TYPE_12,"1,14",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Haagbeuklaan 26, 1185 LC Amstelveen",VERW-AFG_TYPE_AFG_RAD,"Haagbeuklaan 26, 1185 LC Amstelveen_2025-09-18.uniec3",,C,"167,69","240,03","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Haagbeuklaan 26, 1185 LC Amstelveen/Opname/Van adviseur/Haagbeuklaan 26, 1185 LC Amstelveen_2025-09-18.uniec3",Remeha Tzerra Ace 39c - niet meer leverbaar,TAPW-OPWEK_TYPE_12,"1,71",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Andries Copierstraat 42, 1061 SE Amsterdam",VERW-AFG_TYPE_AFG_RAD,"Andries Copierstraat 42, 1061 SE Amsterdam_2025-09-15.uniec3",,A,"101,05","117,79","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Andries Copierstraat 42, 1061 SE Amsterdam, Nederland/Opname/Van adviseur/Andries Copierstraat 42, 1061 SE Amsterdam_2025-09-15.uniec3",externe warmtelevering,TAPW-OPWEK_TYPE_4,"3,54",9,VARIANT_C1,,VERW-OPWEK_TYPE_C
"Bilderdam 29B, 2451 CX Leimuiden",VERW-AFG_TYPE_AFG_RAD,"Bilderdam 29B, 2451 CX Leimuiden_2025-05-20.uniec3",,C,"171,80","244,15","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Bilderdam 29B, 2451 CX Leimuiden/Opname/Van adviseur/Bilderdam 29B, 2451 CX Leimuiden_2025-05-20.uniec3",Remeha Calenta 40c - naam gecorrigeerd 2021-07-03,TAPW-OPWEK_TYPE_12,"2,64",1,VARIANT_A1,"0,900",VERW-OPWEK_TYPE_H
"Graaf Willemlaan 62, 1181 EH Amstelveen",VERW-AFG_TYPE_AFG_VLV,"Graaf Willemlaan 62, 1181 EH Amstelveen_2025-10-09.uniec3",,B,"115,20","172,11","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Graaf Willemlaan 62, 1181 EH Amstelveen, Nederland/Opname/Van adviseur/Graaf Willemlaan 62, 1181 EH Amstelveen_2025-10-09.uniec3",Remeha Tzerra Ace-Matic 35c,TAPW-OPWEK_TYPE_12,"2,33""Graaf Willemlaan 62, 1181 EH Amstelveen""Rozengracht 158-A, 1016 NJ Amsterdam__",VERW-AFG_TYPE_AFG_RAD,"Rozengracht 158-A, 1016 NJ Amsterdam___2025-10-15.uniec3",,A,"115,12","149,69","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Rozengracht 158-A, 1016 NJ Amsterdam__/Opname/Van adviseur/Rozengracht 158-A, 1016 NJ Amsterdam___2025-10-15.uniec3",Intergas Kombi Kompakt HRE 28/24,TAPW-OPWEK_TYPE_12,"6,49",3354,VARIANT_C4c,"0,950",VERW-OPWEK_TYPE_H
"Rozengracht 158-C, 1016 NJ Amsterdam_",VERW-AFG_TYPE_AFG_RAD,"Rozengracht 158-C, 1016 NJ Amsterdam__2025-02-17.uniec3",,E,"214,13","324,70","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Rozengracht 158-C, 1016 NJ Amsterdam---/Opname/Van adviseur/Rozengracht 158-C, 1016 NJ Amsterdam__2025-02-17.uniec3",Remeha Avanta 24c,TAPW-OPWEK_TYPE_12,"3,80",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Einsteinlaan 301, 1171 VX Badhoevedorp",VERW-AFG_TYPE_AFG_VENTRADCONV,"Einsteinlaan 301, 1171 VX Badhoevedorp_2025-09-10.uniec3",,B,"117,76","182,18","25,2",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Einsteinlaan 301, 1171 VX Badhoevedorp, Nederland/Opname/Van adviseur/Einsteinlaan 301, 1171 VX Badhoevedorp_2025-09-10.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"3,55",1,VARIANT_A1,,VERW-OPWEK_TYPE_E
"Maarten Lutherweg 142, 1185 AS Amstelveen",VERW-AFG_TYPE_AFG_RAD,"Maarten Lutherweg 142, 1185 AS Amstelveen_2025-07-07.uniec3",,D,"206,92","279,56","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Maarten Lutherweg 142, 1185 AS Amstelveen/Opname/Van adviseur/Maarten Lutherweg 142, 1185 AS Amstelveen_2025-07-07.uniec3",Intergas Kombi Kompakt HRE 24/18 A,TAPW-OPWEK_TYPE_12,"2,15",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Oude Weerlaan 75, 2181 HZ Hillegom",VERW-AFG_TYPE_AFG_VLV,"Oude Weerlaan 75, 2181 HZ Hillegom_2025-06-04.uniec3",,D,"191,58","287,40","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Oude Weerlaan 75, 2181 HZ Hillegom/Opname/Van adviseur/Oude Weerlaan 75, 2181 HZ Hillegom_2025-06-04.uniec3",HR(-107) ketel met Gaskeur,TAPW-OPWEK_TYPE_12,"1,31",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Thomsonstraat 125, 1171 ZJ Badhoevedorp",VERW-AFG_TYPE_AFG_RAD,"Thomsonstraat 125, 1171 ZJ Badhoevedorp_2025-11-21.uniec3",,A,"74,94","149,04","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Thomsonstraat 125, 1171 ZJ Badhoevedorp, Nederland/Opname/Van adviseur/Thomsonstraat 125, 1171 ZJ Badhoevedorp_2025-11-21.uniec3",Intergas Kombi Kompakt HRE 28/24 A,TAPW-OPWEK_TYPE_12,"0,52",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_H
"Monseigneur Nolenslaan 31, 1181 VL Amstelveen",VERW-AFG_TYPE_AFG_RAD,"Monseigneur Nolenslaan 31, 1181 VL Amstelveen_2025-07-22.uniec3",,D,"188,45","277,93","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Monseigneur Nolenslaan 31, 1181 VL Amstelveen/Opname/Van adviseur/Monseigneur Nolenslaan 31, 1181 VL Amstelveen_2025-07-22.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"1,33",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Haardstee 185, 1102NL Amsterdam",VERW-AFG_TYPE_AFG_RAD,"Haardstee 185, 1102NL Amsterdam_2025-07-15.uniec3",,D,"143,02","256,36","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Haardstee 185, 1102 NL Amsterdam/Opname/Van adviseur/Haardstee 185, 1102NL Amsterdam_2025-07-15.uniec3",HR(-107) ketel met indirect verwarmde warm watervoorraadvat(en),TAPW-OPWEK_TYPE_12,"1,97",1,VARIANT_A1,"0,900",VERW-OPWEK_TYPE_H
"Quellijnstraat 80-2, 1072XW Amsterdam",VERW-AFG_TYPE_AFG_VLV,"Quellijnstraat 80-2, 1072XW Amsterdam_2025-06-16.uniec3",,A,"72,82","122,71","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Quellijnstraat 80-2, 1072XW Amsterdam/Opname/Van adviseur/Quellijnstraat 80-2, 1072XW Amsterdam_2025-06-16.uniec3",Vaillant VHR NL 25-30/5-5,TAPW-OPWEK_TYPE_12,"5,75",1,VARIANT_A1,"0,975",VERW-OPWEK_TYPE_H
"Bertha von Suttnerstraat 59, 2131 VX Hoofddorp",VERW-AFG_TYPE_AFG_RAD,"Bertha von Suttnerstraat 59, 2131 VX Hoofddorp_2025-10-07.uniec3",,A+,"108,11","91,31","51,4",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Bertha von Suttnerstraat 59, 2131 VX Hoofddorp, Nederland/Opname/Van adviseur/Bertha von Suttnerstraat 59, 2131 VX Hoofddorp_2025-10-07.uniec3",Vaillant VHR NL 28-34/5-3,TAPW-OPWEK_TYPE_12,"1,19",1,VARIANT_A1,"0,900",VERW-OPWEK_TYPE_H
"Kerkstraat 41, 2153 BD Nieuw-Vennep",VERW-AFG_TYPE_AFG_RAD,"Kerkstraat 41, 2153 BD Nieuw-Vennep_2025-12-17.uniec3",5060,B,"145,14","182,67","11,5",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Kerkstraat 41, 2153 BD Nieuw-Vennep, Nederland/Opname/Van adviseur/Kerkstraat 41, 2153 BD Nieuw-Vennep_2025-12-17.uniec3",Remeha Tzerra Ace 39c CCS - niet meer leverbaar,TAPW-OPWEK_TYPE_12,"1,37",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Uiterweg 171, 1431 AE Aalsmeer",VERW-AFG_TYPE_AFG_VLV,"Uiterweg 171, 1431 AE Aalsmeer_2025-12-19.uniec3",5560,A++,"87,30","54,07","53,5",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Uiterweg 171, 1431 AE Aalsmeer, Nederland/Opname/Van adviseur/Uiterweg 171, 1431 AE Aalsmeer_2025-12-19.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"1,44",26,VARIANT_D2,,VERW-OPWEK_TYPE_A
"Groenhof 379, 1186 GM Amstelveen, Nederland",VERW-AFG_TYPE_AFG_RAD,"Groenhof 379, 1186 GM Amstelveen, Nederland_2025-12-29.uniec3",2720,B,"98,25","174,03","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Groenhof 379, 1186 GM Amstelveen, Nederland/Opname/Van adviseur/Groenhof 379, 1186 GM Amstelveen, Nederland_2025-12-29.uniec3",HR(-107) ketel,TAPW-OPWEK_TYPE_12,"3,34",9,VARIANT_C1,"0,900",VERW-OPWEK_TYPE_H
"Van Nijenrodeweg 60, 1083 ED Amsterdam_",VERW-AFG_TYPE_AFG_RAD,"Van Nijenrodeweg 60, 1083 ED Amsterdam__2025-05-13.uniec3",,C,"113,42","135,45","35,8",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Van Nijenrodeweg 60, 1083 ED Amsterdam/Opname/Van adviseur/Van Nijenrodeweg 60, 1083 ED Amsterdam__2025-05-13.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"0,88",1,VARIANT_A1,,VERW-OPWEK_TYPE_C
"Bos en Lommerplein 81, 1055 AD Amsterdam",VERW-AFG_TYPE_AFG_RAD,"Bos en Lommerplein 81, 1055 AD Amsterdam_2025-06-26.uniec3",,A,"72,80","120,05","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Bos en Lommerplein 81, 1055 AD Amsterdam/Opname/Van adviseur/Bos en Lommerplein 81, 1055 AD Amsterdam_2025-06-26.uniec3",Remeha Avanta 28c,TAPW-OPWEK_TYPE_12,"1,88",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_H
"Postjesweg 511, 1062 JW Amsterdam",VERW-AFG_TYPE_AFG_RAD,"Postjesweg 511, 1062 JW Amsterdam_2025-05-05.uniec3",,E,"212,19","328,20","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Postjesweg 511, 1062 JW Amsterdam_/Opname/Van adviseur/Postjesweg 511, 1062 JW Amsterdam_2025-05-05.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"1,14",1,VARIANT_A1,"0,900",VERW-OPWEK_TYPE_H
"Van Nijenrodeweg 409, 1082 HH Amsterdam__",VERW-AFG_TYPE_AFG_RAD,"Van Nijenrodeweg 409, 1082 HH Amsterdam___2025-04-03.uniec3",,C,"82,11","236,27","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Van Nijenrodeweg 409, 1082 HH Amsterdam/Opname/Van adviseur/Van Nijenrodeweg 409, 1082 HH Amsterdam___2025-04-03.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"1,16",1,VARIANT_A1,,VER"Van Nijenrodeweg 409, 1082 HH Amsterdam__",VERW-AFG_TYPE_AFG_RAD,"Van Nijenrodeweg 409, 1082 HH Amsterdam___2025-04-03.uniec3",,C,"82,11","236,27","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Van Nijenrodeweg 409, 1082 HH Amsterdam/Opname/Van adviseur/Van Nijenrodeweg 409, 1082 HH Amsterdam___2025-04-03.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"1,16",1,VARIANT_A1,,VERW-OPWEK_TYPE"Uiterweg 151, 1431 AD Aalsmeer",VERW-AFG_TYPE_AFG_RAD,"Uiterweg 151, 1431 AD Aalsmeer_2025-04-16.uniec3",,C,"157,78","220,42","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Uiterweg 151, 1431 AD Aalsmeer/Opname/Van adviseur/Uiterweg 151, 1431 AD Aalsmeer_2025-04-16.uniec3",Atag i36EC,TAPW-OPWEK_TYPE_12,"7,77",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Pavane 3, 2152 TV Nieuw-Vennep",VERW-AFG_TYPE_AFG_RAD,"Pavane 3, 2152 TV Nieuw-Vennep_2025-10-18.uniec3",,A,"77,67","136,43","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Pavane 3, 2152 TV Nieuw-Vennep, Nederland/Opname/Van adviseur/Pavane 3, 2152 TV Nieuw-Vennep_2025-10-18.uniec3",Intergas Kombi Kompakt HRE 24/18 A,TAPW-OPWEK_TYPE_12,"2,67",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_H
"Balearenlaan 24, 1060 TK Amsterdam_",VERW-AFG_TYPE_AFG_RAD,"Balearenlaan 24, 1060 TK Amsterdam__2025-07-09.uniec3",,A,"83,60","115,27","13,8",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Balearenlaan 24, 1060 TK Amsterdam/Opname/Van adviseur/Balearenlaan 24, 1060 TK Amsterdam__2025-07-09.uniec3",Atag i36EC,TAPW-OPWEK_TYPE_12,"1,81",9,VARIANT_C1,"0,950",VERW-OPWEK_TYPE_H
"Hoofdweg 134, 1433 JX Kudelstaart",VERW-AFG_TYPE_AFG_RAD,"Hoofdweg 134, 1433 JX Kudelstaart_2025-09-04.uniec3",,C,"171,30","228,82","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Hoofdweg 134, 1433 JX Kudelstaart, Nederland/Opname/Van adviseur/Hoofdweg 134, 1433 JX Kudelstaart_2025-09-04.uniec3",Atag i36EC,TAPW-OPWEK_TYPE_12,"1,17",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Oostelijk Halfrond 145, 1183 EP Amstelveen__",VERW-AFG_TYPE_AFG_RAD,"Oostelijk Halfrond 145, 1183 EP Amstelveen___2025-08-25.uniec3",,C,"141,31","248,50","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Oostelijk Halfrond 145, 1183 EP Amstelveen/Opname/Van adviseur/Oostelijk Halfrond 145, 1183 EP Amstelveen___2025-08-25.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"2,44",1,VARIANT_A1,"0,900",VERW-OPWEK_TYPE_H
"Reitzstraat 123, 2021 TR Haarlem",VERW-AFG_TYPE_AFG_RAD,"Reitzstraat 123, 2021 TR Haarlem_2025-06-10.uniec3",,C,"149,98","238,46","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Reitzstraat 123, 2021 TR Haarlem/Opname/Van adviseur/Reitzstraat 123, 2021 TR Haarlem_2025-06-10.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"1,19",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Graan voor Visch 15240, 2132 EC Hoofddorp",VERW-AFG_TYPE_AFG_RAD,"Graan voor Visch 15240, 2132 EC Hoofddorp_2025-10-12.uniec3",,C,"163,28","230,47","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Graan voor Visch 15240, 2132 EC Hoofddorp, Nederland/Opname/Van adviseur/Graan voor Visch 15240, 2132 EC Hoofddorp_2025-10-12.uniec3",Remeha Tzerra Ace 39c CCS - niet meer leverbaar,TAPW-OPWEK_TYPE_12,"1,54",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Stommeerweg 118, 1431 EZ Aalsmeer",VERW-AFG_TYPE_AFG_LV,"Stommeerweg 118, 1431 EZ Aalsmeer_2025-09-15.uniec3",,E,"205,17","294,94","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Stommeerweg 118, 1431 EZ Aalsmeer, Nederland/Opname/Van adviseur/Stommeerweg 118, 1431 EZ Aalsmeer_2025-09-15.uniec3",elektrische boiler,TAPW-OPWEK_TYPE_5,"1,97",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_L
"De Morgenstond 25, 1181 NW Amstelveen",VERW-AFG_TYPE_AFG_RAD,"De Morgenstond 25, 1181 NW Amstelveen_2025-10-21.uniec3",,C,"173,75","247,56","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/De Morgenstond 25, 1181 NW Amstelveen, Nederland/Opname/Van adviseur/De Morgenstond 25, 1181 NW Amstelveen_2025-10-21.uniec3",HR(-107) ketel met Gaskeur,TAPW-OPWEK_TYPE_12,"1,83",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Aalsmeerderdijk 236, 1436 BB Aalsmeerderbrug",VERW-AFG_TYPE_AFG_RAD,"Aalsmeerderdijk 236, 1436 BB Aalsmeerderbrug_2025-08-05.uniec3",,D,"228,56","279,82","7,4",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Aalsmeerderdijk 236, 1436 BB Aalsmeerderbrug/Opname/Van adviseur/Aalsmeerderdijk 236, 1436 BB Aalsmeerderbrug_2025-08-05.uniec3",Intergas Kombi Kompakt HRE 28/24,TAPW-OPWEK_TYPE_12,"2,65",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"Bep van Klaverenstraat 35, 2134 CM Hoofddorp",VERW-AFG_TYPE_AFG_VLV,"Bep van Klaverenstraat 35, 2134 CM Hoofddorp_2025-07-01.uniec3",,A+,"95,05","81,63","49,7",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Bep van Klaverenstraat 35, 2134 CM Hoofddorp/Opname/Van adviseur/Bep van Klaverenstraat 35, 2134 CM Hoofddorp_2025-07-01.uniec3",kokendwater toestel,TAPW-OPWEK_TYPE_6,"1,51",9,VARIANT_C1,"0,900",VERW-OPWEK_TYPE_H
"Robert Kochstraat 21, 1171 HZ Badhoevedorp",VERW-AFG_TYPE_AFG_RAD,"Robert Kochstraat 21, 1171 HZ Badhoevedorp_2025-04-18.uniec3",,B,"107,18","165,35","0,0",TGEB_GRWON,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/Robert Kochstraat 21, 1171 HZ Badhoevedorp/Opname/Van adviseur/Robert Kochstraat 21, 1171 HZ Badhoevedorp_2025-04-18.uniec3",Intergas Kombi Kompakt HR 22,TAPW-OPWEK_TYPE_12,"3,94",1,VARIANT_A1,"0,950",VERW-OPWEK_TYPE_H
"S.F. van Ossstraat 322, 1068 JP Amsterdam",VERW-AFG_TYPE_AFG_RAD,"S.F. van Ossstraat 322, 1068 JP Amsterdam_2025-07-30.uniec3",,A,"89,30","150,05","0,0",TGEB_APP,"/Users/markrondema/Library/Mobile Documents/com~apple~CloudDocs/Desktop/COMPLETED/S.F. van Ossstraat 322, 1068 JP Amsterdam/Opname/Van adviseur/S.F. van Ossstraat 322, 1068 JP Amsterdam_2025-07-30.uniec3",Vaillant MAG NL 9/1 OZ,TAPW-OPWEK_TYPE_14,"1,15",1,VARIANT_A1,,VERW-OPWEK_TYPE_C
